,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),timestamp
39,Chainlink,"$202,445,475",$0.578416,"$6,851,699","350,000,000 LINK",*,2019-04-06 09:20
40,BitShares,"$202,237,157",$0.074739,"$7,611,575","2,705,910,000 BTS",*,2019-04-06 09:20
41,TrueUSD,"$202,028,598",$1.01,"$70,570,170","200,305,449 TUSD",*,2019-04-06 09:20
42,Ravencoin,"$201,718,978",$0.061827,"$14,660,141","3,262,615,000 RVN",6.04%,2019-04-06 09:20
43,Bitcoin Diamond,"$198,103,660",$1.29,"$12,038,861","153,756,875 BCD",4.76%,2019-04-06 09:20
44,Nano,"$187,527,240",$1.41,"$6,840,957","133,248,289 NANO",*,2019-04-06 09:20
45,Bytecoin,"$181,100,609",$0.000984,"$297,481","184,066,828,814 BCN",4.54%,2019-04-06 09:20
46,Holo,"$174,934,939",$0.001313,"$10,517,493","133,214,575,156 HOT",*,2019-04-06 09:20
47,DigiByte,"$172,634,032",$0.014833,"$1,425,249","11,638,732,293 DGB",-0.87%,2019-04-06 09:20
48,Aeternity,"$167,770,911",$0.651681,"$41,753,013","257,443,266 AE",*,2019-04-06 09:20
49,Steem,"$162,823,080",$0.528617,"$7,099,846","308,016,909 STEEM",*,2019-04-06 09:20
50,Maximine Coin,"$158,159,968",$0.095913,"$18,788,436","1,649,000,000 MXM",*,2019-04-06 09:20
51,Pundi X,"$153,089,776",$0.000787,"$41,410,834","194,590,575,977 NPXS",*,2019-04-06 09:20
52,Bytom,"$151,665,025",$0.151287,"$10,447,856","1,002,499,275 BTM",8.34%,2019-04-06 09:20
53,Verge,"$144,126,989",$0.009081,"$2,584,136","15,870,739,811 XVG",2.68%,2019-04-06 09:20
54,Huobi Token,"$140,564,743",$2.81,"$46,087,312","50,000,200 HT",*,2019-04-06 09:20
55,Komodo,"$138,139,446",$1.23,"$2,448,707","112,505,642 KMD",1.66%,2019-04-06 09:20
56,BitTorrent,"$137,110,202",$0.000805,"$45,566,638","170,421,000,000 BTT",*,2019-04-06 09:20
57,Siacoin,"$136,138,254",$0.003390,"$2,167,277","40,156,065,194 SC",1.60%,2019-04-06 09:20
58,KuCoin Shares,"$135,316,987",$1.50,"$3,852,506","89,939,916 KCS",*,2019-04-06 09:20
59,Aurora,"$131,259,160",$0.020063,"$3,762,611","6,542,330,148 AOA",*,2019-04-06 09:20
60,Enjin Coin,"$119,778,913",$0.156164,"$13,905,522","767,007,985 ENJ",*,2019-04-06 09:20
61,Project Pai,"$115,789,118",$0.079900,"$7,775,943","1,449,173,149 PAI",*,2019-04-06 09:20
62,Stratis,"$115,600,035",$1.16,"$1,594,483","99,277,589 STRAT",*,2019-04-06 09:20
63,THETA,"$108,350,842",$0.124469,"$7,194,063","870,502,690 THETA",*,2019-04-06 09:20
64,Paxos Standar...,"$107,574,748",$1.00,"$63,416,862","107,393,206 PAX",*,2019-04-06 09:20
65,Status,"$101,617,581",$0.029281,"$9,368,290","3,470,483,788 SNT",*,2019-04-06 09:20
66,Golem,"$97,290,266",$0.100963,"$2,355,972","963,622,000 GNT",*,2019-04-06 09:20
67,Waltonchain,"$90,831,165",$2.21,"$7,998,610","41,051,959 WTC",*,2019-04-06 09:20
68,Mixin,"$89,624,362",$204.02,"$1,075,850","439,295 XIN",*,2019-04-06 09:20
69,Ardor,"$89,204,895",$0.089294,"$851,479","998,999,495 ARDR",*,2019-04-06 09:20
70,Populous,"$89,152,909",$1.67,"$6,244,479","53,252,246 PPT",*,2019-04-06 09:20
71,Dai,"$88,877,961",$0.983058,"$38,405,473","90,409,637 DAI",*,2019-04-06 09:20
72,Digitex Futures,"$85,179,347",$0.115497,"$1,092,094","737,500,000 DGTX",*,2019-04-06 09:20
73,ABBC Coin,"$83,521,848",$0.182567,"$40,083,670","457,484,972 ABBC",-4.63%,2019-04-06 09:20
74,Insight Chain,"$82,843,759",$0.236762,"$3,211,259","349,902,689 INB",*,2019-04-06 09:20
75,Factom,"$78,622,074",$8.34,"$80,209","9,425,196 FCT",*,2019-04-06 09:20
76,Ark,"$77,181,912",$0.705243,"$671,286","109,440,156 ARK",*,2019-04-06 09:20
77,Cryptonex,"$76,096,658",$1.37,"$9,005,553","55,686,329 CNX",1.27%,2019-04-06 09:20
78,GXChain,"$75,370,306",$1.26,"$7,172,958","60,000,000 GXC",*,2019-04-06 09:20
79,Loopring,"$75,033,537",$0.090516,"$4,183,524","828,954,240 LRC",*,2019-04-06 09:20
80,Revain,"$74,452,755",$0.153685,"$795,637","484,450,000 R",*,2019-04-06 09:20
81,HyperCash,"$71,770,855",$1.65,"$1,414,821","43,529,781 HC",2.65%,2019-04-06 09:20
82,Qubitica,"$71,467,382",$25.42,"$75,850","2,811,312 QBIT",*,2019-04-06 09:20
83,Aion,"$67,881,765",$0.225728,"$5,138,258","300,724,162 AION",4.08%,2019-04-06 09:20
84,WAX,"$67,437,416",$0.071537,"$613,328","942,694,871 WAX",*,2019-04-06 09:20
85,MaidSafeCoin,"$67,030,995",$0.148118,"$309,546","452,552,412 MAID",*,2019-04-06 09:20
86,Gemini Dollar,"$66,634,520",$1.01,"$6,000,991","65,779,431 GUSD",*,2019-04-06 09:20
87,NULS,"$66,429,872",$0.954734,"$8,735,852","69,579,443 NULS",4.80%,2019-04-06 09:20
88,aelf,"$64,321,587",$0.229720,"$11,761,793","280,000,000 ELF",*,2019-04-06 09:20
89,Decentraland,"$63,834,320",$0.060786,"$2,994,846","1,050,141,509 MANA",*,2019-04-06 09:20
90,Elastos,"$63,520,298",$4.20,"$3,633,039","15,113,020 ELA",0.68%,2019-04-06 09:20
91,REPO,"$63,120,507",$0.574039,"$21,357","109,958,607 REPO",*,2019-04-06 09:20
92,ThoreCoin,"$63,043,247",$727.26,"$111,495","86,686 THR",*,2019-04-06 09:20
93,Zcoin,"$62,324,017",$8.66,"$1,087,474","7,193,985 XZC",0.96%,2019-04-06 09:20
94,Loom Network,"$61,352,168",$0.078848,"$2,773,024","778,109,474 LOOM",*,2019-04-06 09:20
95,Bibox Token,"$60,042,915",$0.541227,"$5,786,651","110,938,508 BIX",*,2019-04-06 09:20
96,Crypto.com,"$59,682,686",$3.78,"$5,366,753","15,793,831 MCO",*,2019-04-06 09:20
97,PIVX,"$57,809,372",$1.02,"$396,342","56,781,166 PIVX",*,2019-04-06 09:20
98,Nebulas,"$56,647,808",$1.25,"$4,714,700","45,500,000 NAS",*,2019-04-06 09:20
99,Metaverse ETP,"$56,603,503",$0.807419,"$10,167,908","70,104,273 ETP",-4.15%,2019-04-06 09:20
100,Electroneum,"$56,295,342",$0.006100,"$388,580","9,228,199,272 ETN",-1.88%,2019-04-06 09:20
